id,course_id,course_name,passage,question_image,explanation,instruction,question_type,question_text,option_1_text,option_1_image,option_2_text,option_2_image,option_3_text,option_3_image,option_4_text,option_4_image,answer,year
37899,30,SOCIAL STUDIES,,logo.png,,,multiple_choice,<p><span>The mineral resources that are associated with Enugu state is </span></p><p></p>,Tin ore,,Coal,,Iron ore,,Gold,,2,2015
37900,30,SOCIAL STUDIES,,logo,,,multiple_choice,<p><span>Another name for nuclear family is </span></p><p></p>, immediate family ,,Extended family ,,Monogamous family ,,Polygamous,,3,2015
37901,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>A scientific</span><span> instrument used </span><span>in sighting tar object in the sky is called a </span></p>,Glass ,,Telescope,,Mirror ,,Torch ,,2,2015
37902,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The new name of</span><span> </span><span>O.A.U is </span></p><p></p>,African Organization ,,Organization of African Unity ,,African Union ,,Organization of Africa ,,3,2015
37903,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The </span><span>Ebola</span><span> virus disease was </span><span>discovered </span><span>first in river </span><span>Ebola </span><span>Congo in the year.</span></p>,1975,,1976,,1974,,1977,,2,2015
37904,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Glacial </span><span>erosion </span><span>is not common in Nigeria  it occurs in __ regions </span></p><p></p>,Cold,,Desert,,Savannah,,hot,,2,2015
37905,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The coming together of people for helping themselves and others is known as</span></p>,Primary group,,Social organization,,Social group,,Secondary group,,2,2015
37906,30,SOCIAL STUDIES,,,,,multiple_choice,"<p><span>Banks</span><span>, industries, firms, markets belongs to which</span><span> institution?</span></p>",Social,,Religion,,Economic,,Financial,,2,2016
37907,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Which of these is NOT  a storage facilities</span></p>,Barn,,silo,,Refrigerator,,Micro wave,,2,2016
37908,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Monogamous family consist</span></p>,"Father, uncle, sister",,"Father, mother, children",,"Father, mother, aunt, children",,"Mother, children, grandmother",,2,2016
37909,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The art of coping ideas and machines of one country and using them </span><span>in another</span><span> country is</span></p>,Technological growth,,Technological transfer,,Smuggling,,Technical know- how,,2,2016
